Name,Score
intel hd 500,300
intel hd 5000,583
intel hd 505,358
intel hd 510,619
intel hd 515,638
intel hd 520,862
intel hd 5200,830
intel hd 530,992
intel hd 5300,405
intel hd 5500,593
intel hd 5600,1868
intel hd 6000,876
intel hd 610,686
intel hd 615,691
intel hd 630,1113
intel hd family,464
intel hd graphics 620,921
intel hd manual-15.28-1861,62
intel hd manual-gen9_2015-133271,165
intel hd modded,112
intel hd p3000,282
intel hd p4000,516
intel hd p4600,505
intel hd p4600/p4700,629
intel hd p530,1156
intel hd p630,1227
intel infoshock hd,193
intel iris 5100,734
intel iris 540,1263
intel iris 550,1436
intel iris 6100,901
intel iris 650,1432
intel iris plus,1794
intel iris plus 640,1354
intel iris plus 645,1751
intel iris plus 650,1596
intel iris plus 655,1728
intel iris pro 5200,1176
intel iris pro 580,1985
intel iris pro 6100,925
intel iris pro graphics 6200,1531
intel iris pro p580,1754
intel iris pro p6300,1596
intel iris xe,2641
intel iris xe max,1971
intel iris xe max 100,1964
intel media accelerator,32
intel media accelerator 3150,2
intel media accelerator 500,3
intel media accelerator 600,6
intel media accelerator hd,106
intel poison ivy,738
intel q33 express,7
intel q35 embedded,8
intel q35 express,62
intel q45/q43 express chipset,201
intel q45/q43 express-chipsatz,57
intel q965/q963 express,121
intel skylake hd dt gt2,576
intel uhd 630,614
intel uhd graphics,1500
intel uhd graphics 600,312
intel uhd graphics 605,364
intel uhd graphics 610,688
intel uhd graphics 615,715
intel uhd graphics 617,822
intel uhd graphics 620,1042
intel uhd graphics 630,1231
intel uhd graphics 710,1053
intel uhd graphics 730,1521
intel uhd graphics 750,1707
intel uhd graphics 770,1907
intel uhd graphics p630,1924
intel uhd graphics p750,1666
intel us15 embedded media and controller,7
ion,108
ion le,97
l4,9559
l4-1q,258
l4-2a,3063
l4-2b,1451
l4-2q,4062
l4-4q,4926
l4-6q,4473
l4-8q,7846
l40-8q,11670
l40s,20022
l40s-12q,4371
l40s-1q,2931
l40s-24q,3257
l40s-8q,5414
luminoncore iddcx adapter,1338
m860g with mobility radeon 4100,75
m880g with mobility radeon hd 4200,92
m880g with mobility radeon hd 4225,71
m880g with mobility radeon hd 4250,104
master x3100 driver,10
matrox c420 lp pcie x16,597
matrox c680 pcie x16,1873
matrox c900 pcie x16,1812
matrox g200e wddm 1.2,59
matrox g200e wddm 2.0,100
matrox g200eh,40
matrox g200eh wddm 1.2,51
matrox g200eh wddm 2.0,49
matrox g200er,36
matrox g200er wddm 1.2,45
matrox g200er wddm 2.0,67
matrox g200ew,39
matrox g200ew wddm 1.2,50
matrox g200ew3 wddm 2.0,89
matrox luma a310,3690
matrox luma a310f,3873
matrox luma a380p,5811
matrox m9120 pcie x16,19
matrox m9120 plus lp pcie x16,25
matrox m9125 pcie x16,25
matrox m9128 lp pcie x16,31
matrox m9138 lp pcie x16,42
matrox m9140 lp pcie x16,23
matrox m9148 lp pcie x16,40
matrox m9188 atx pcie x16,45
matrox millennium p650 pcie 128,5
matrox millennium p690 pcie x16,366
matrox millennium p690 plus lp pcie x16,6
matrox parhelia 128mb,3
matrox parhelia 256mb,9
matrox parhelia apve,5
medion radeon 9800 xxl,71
medion radeon x740xl,94
meta virtual monitor,21427
meta virtual monitor ryzen 5 5625u,1008
mi pad 5 adreno 640 gpu,657
miracast display port driver v3,8421
mirage driver,1261
mirrorop virtual adaptor ryzen 5 pro 7535u,2429
mirrorv3,1080
mobile intel - famiglia express chipset 45,38
mobile intel 4 express-chipsatzfamilie,44
mobile intel 45 express,38
mobile intel 45 express-chipsatzfamilie,117
mobile intel 915gm/gms/910gml express,1
mobile intel 945 express,1
mobile intel 945gm express,5
mobile intel 945gm/gu express,5
mobile intel 965 express,46
mobile intel 965 express - br-0907-0461 v1839,8
mobile intel 965 express-chipsatzfamilie,24
mobile intel hd,244
mobile intel serie 4 express,44
mobile intel965 express,17
mobility firegl 7800,4
mobility firegl t2,40
mobility firegl t2/t2e,33
mobility firegl v3200,62
mobility firegl v5000,81
mobility firegl v5200,44
mobility firegl v5250,27
mobility firegl v5725,219
mobility igp 9000/9100,10
mobility radeon 4100,81
mobility radeon 7000 igp,6
mobility radeon 7500,3
mobility radeon 9000,3
mobility radeon 9000 igp,7
mobility radeon 9000/9100 igp,5
mobility radeon 9100 igp,2
mobility radeon 9200,3
mobility radeon 9550,30
mobility radeon 9600,36
mobility radeon 9600 pro turbo,24
mobility radeon 9600/9700,39
mobility radeon 9700,27
mobility radeon 9800,46
mobility radeon hd 2300,50
mobility radeon hd 2400,89
mobility radeon hd 2400 xt,102
mobility radeon hd 2600,167
mobility radeon hd 2600 xt,191
mobility radeon hd 3400 serisi,111
mobility radeon hd 3410,62
mobility radeon hd 3430,98
mobility radeon hd 3450,91
mobility radeon hd 3470,93
mobility radeon hd 3470 hybrid x2,93
mobility radeon hd 3650,141
mobility radeon hd 3670,232
mobility radeon hd 3850,365
mobility radeon hd 3870,547
mobility radeon hd 3870 x2,477
mobility radeon hd 4200,90
mobility radeon hd 4225,66
mobility radeon hd 4250,98
mobility radeon hd 4270,92
mobility radeon hd 4300 serisi,73
mobility radeon hd 4330,135
mobility radeon hd 4350,148
mobility radeon hd 4550,191
mobility radeon hd 4570,149
mobility radeon hd 4650,401
mobility radeon hd 4670,463
mobility radeon hd 4830,511
mobility radeon hd 4850,866
mobility radeon hd 4870,719
mobility radeon hd 5000,773
mobility radeon hd 5000 serisi,478
mobility radeon hd 5165,284
mobility radeon hd 530v,174
mobility radeon hd 540v,188
mobility radeon hd 5430,181
mobility radeon hd 5450,214
