Name,Score
amd epyc 9655p,160417
amd epyc 9684x,122017
amd epyc 9734,102286
amd epyc 9745,130698
amd epyc 9754,98752
amd epyc 9755,166328
amd epyc 9845,152985
amd epyc 9965,160778
amd epyc 9b14,126653
amd epyc 9b45,158790
amd epyc 9j14,124637
amd epyc 9r14,116475
amd epyc 9v74,117606
amd epyc embedded 7292p,30542
amd epyc embedded 8224p,48871
amd epyc embedded 9755,164010
amd firepro a320 apu,2153
amd fx-4100 quad-core,2626
amd fx-4130 quad-core,2709
amd fx-4150 quad-core,3327
amd fx-4170 quad-core,3059
amd fx-4200 quad-core,3119
amd fx-4300 quad-core,2989
amd fx-4320,3150
amd fx-4330,3146
amd fx-4350 quad-core,3180
amd fx-6100 six-core,3702
amd fx-6120 six-core,3909
amd fx-6130 six-core,4353
amd fx-6200 six-core,4111
amd fx-6300 six-core,4220
amd fx-6330 six-core,4433
amd fx-6350 six-core,4630
amd fx-670k quad-core,2980
amd fx-7500 apu,1921
amd fx-7600p,2557
amd fx-7600p apu,2856
amd fx-770k quad-core,3172
amd fx-8100 eight-core,4095
amd fx-8120 eight-core,4633
amd fx-8140 eight-core,4860
amd fx-8150 eight-core,5311
amd fx-8300 eight-core,5335
amd fx-8310 eight-core,5050
amd fx-8320 eight-core,5462
amd fx-8320e eight-core,5125
amd fx-8350 eight-core,6090
amd fx-8370 eight-core,6159
amd fx-8370e eight-core,5340
amd fx-870k quad core,3227
amd fx-8800p,2832
amd fx-9370 eight-core,6359
amd fx-9590 eight-core,6816
amd fx-9800p,2457
amd fx-9830p,3302
amd fx-b4150 quad-core,3369
amd g-t40e,289
amd g-t40n,299
amd g-t40r,120
amd g-t44r,116
amd g-t48e,432
amd g-t52r,177
amd g-t56e,442
amd g-t56n,484
amd geode nx 2400+,400
amd gx-210ja soc,248
amd gx-212jc soc,645
amd gx-217ga soc,794
amd gx-218gl soc,754
amd gx-222gc soc,1044
amd gx-412hc,1095
amd gx-412tc soc,650
amd gx-415ga soc,1405
amd gx-416ra soc,1604
amd gx-420ca soc,1785
amd gx-420mc soc,1796
amd gx-424cc soc,1819
amd opteron 1212,593
amd opteron 1212 he,771
amd opteron 1214,763
amd opteron 1214 he,806
amd opteron 1216,781
amd opteron 1216 he,727
amd opteron 1218,910
amd opteron 1218 he,979
amd opteron 1220,1036
amd opteron 1222,1089
amd opteron 1352,1547
amd opteron 1354,1635
amd opteron 1356,1703
amd opteron 1381,1797
amd opteron 1385,2089
amd opteron 1389,2079
amd opteron 144,316
amd opteron 146,346
amd opteron 148,392
amd opteron 150,393
amd opteron 152,428
amd opteron 154,457
amd opteron 165,531
amd opteron 170,648
amd opteron 175,682
amd opteron 180,746
amd opteron 185,695
amd opteron 2218,1036
amd opteron 2220,1106
amd opteron 2220 se,909
amd opteron 2222,1198
amd opteron 2354,1509
amd opteron 2356,1829
amd opteron 2373 ee,1744
amd opteron 2378,1864
amd opteron 2384,2074
amd opteron 2393 se,1317
amd opteron 2419 ee,1902
amd opteron 2427,1995
amd opteron 2431,2894
amd opteron 2435,3061
amd opteron 254,451
amd opteron 270,736
amd opteron 275,839
amd opteron 280,765
amd opteron 285,956
amd opteron 290,952
amd opteron 3250 he,2061
amd opteron 3260 he,2283
amd opteron 3280,3783
amd opteron 3320 ee,1918
amd opteron 3350 he,2699
amd opteron 3365,4083
amd opteron 3380,4358
amd opteron 4130,2342
amd opteron 4162 ee,2058
amd opteron 4170 he,2382
amd opteron 4174 he,2986
amd opteron 4184,2872
amd opteron 4226,3400
amd opteron 4274 he,5776
amd opteron 4280,4504
amd opteron 4284,4665
amd opteron 4332 he,3911
amd opteron 4334,3949
amd opteron 4365 ee,3582
amd opteron 4376 he,4318
amd opteron 4386,3273
amd opteron 6128,2826
amd opteron 6128 he,2932
amd opteron 6136,3381
amd opteron 6164 he,3478
amd opteron 6172,2615
amd opteron 6174,3697
amd opteron 6176 se,3564
amd opteron 6212,3973
amd opteron 6220,4753
amd opteron 6234,4072
amd opteron 6238,5625
amd opteron 6272,5240
amd opteron 6274,5643
amd opteron 6276,6348
amd opteron 6281,7279
amd opteron 6282 se,6385
amd opteron 6287 se,6925
amd opteron 6328,5306
amd opteron 6344,6069
amd opteron 6348,7850
amd opteron 6366 he,5613
amd opteron 6376,5572
amd opteron 6378,5889
amd opteron 6380,6687
amd opteron 6386 se,8291
amd opteron 8439 se,2479
amd opteron x2170 apu,1911
amd opteron x3216 apu,1512
amd opteron x3418 apu,3043
amd opteron x3421 apu,3305
amd phenom 8250 triple-core,1114
amd phenom 8250e triple-core,1084
amd phenom 8400 triple-core,1164
amd phenom 8450 triple-core,1221
amd phenom 8450e triple-core,1206
amd phenom 8600 triple-core,1267
amd phenom 8600b triple-core,1464
amd phenom 8650 triple-core,1218
amd phenom 8750 triple-core,1445
amd phenom 8750b triple-core,1188
amd phenom 8850 triple-core,1142
amd phenom 8850b triple-core,1281
amd phenom 9100e quad-core,1353
amd phenom 9150e quad-core,1427
amd phenom 9350e quad-core,1659
amd phenom 9450e quad-core,1455
amd phenom 9500 quad-core,1564
amd phenom 9550 quad-core,1667
amd phenom 9600 quad-core,1607
amd phenom 9600b quad-core,1842
amd phenom 9650 quad-core,1772
amd phenom 9750 quad-core,1843
amd phenom 9750b quad-core,1520
amd phenom 9850 quad-core,1712
amd phenom 9850b quad-core,1946
amd phenom 9950 quad-core,1884
amd phenom fx-5000 quad-core,1599
amd phenom fx-5200 quad-core,1699
amd phenom ii n620 dual-core,992
amd phenom ii n640 dual-core,1135
amd phenom ii n660 dual-core,1083
amd phenom ii n830 3+1,1768
amd phenom ii n830 triple-core,1249
amd phenom ii n850 triple-core,1318
amd phenom ii n870 triple-core,1324
amd phenom ii n930 quad-core,1584
amd phenom ii n950 quad-core,1587
amd phenom ii n970 quad-core,1711
amd phenom ii p650 dual-core,1018
amd phenom ii p820 triple-core,1068
amd phenom ii p840 triple-core,1079
amd phenom ii p860 triple-core,1250
amd phenom ii p920 quad-core,1006
amd phenom ii p940 quad-core,1319
amd phenom ii p960 quad-core,1431
amd phenom ii x2 511,1265
amd phenom ii x2 521,1374
amd phenom ii x2 545,1222
amd phenom ii x2 550,1154
amd phenom ii x2 555,1312
